Class,Data
knowledge,"-516.12866,133.69936,-19.863651,17.14322,-11.88301,0.821087,-11.86319,1.2787544,-10.463729,-13.25375,-0.66497606,-4.265438,-4.4591665,-7.27916,-8.673867,-2.7530944,5.8148975,-15.560743,-1.2402307,-3.6160188"
knowledge,"-509.12952,131.8451,-35.369133,25.092627,-2.6142673,-0.5490451,-1.7241518,-5.6193285,-1.8126539,-11.373478,-8.4732,-3.4565043,-8.330341,-4.015568,-7.33785,-9.100698,-1.3916782,-16.01989,-1.8913443,-2.1764765"
knowledge,"-530.9221,111.35347,12.373541,10.488995,-4.9242153,6.936197,-7.052212,2.1766622,0.27427095,-14.055214,-8.577656,-3.0617907,0.13381185,-11.516731,-6.994873,-4.5405536,-9.20824,-3.472554,-2.6268225,-7.04334"
knowledge,"-493.7356,117.2203,12.120189,10.121983,-15.883559,4.145945,-7.819126,-3.1434689,-5.0170283,-6.535971,-6.8965755,-4.5029593,0.06785014,-13.836977,-5.3376293,-2.72672,-4.1555386,-7.7823396,-5.8889866,-6.325441"
knowledge,"-500.6056,107.13547,1.4506422,8.2308,0.49425924,9.690905,-15.323399,-5.7833776,0.39401743,-1.9342809,-8.140072,-10.016881,1.2873824,-8.962156,-6.990302,-4.186605,-3.0806024,-5.3294983,-6.5195155,-6.790896"
knowledge,"-488.4898,100.95991,-0.14578268,12.132674,1.1141286,6.610705,-12.234562,0.99985206,-3.4654129,-9.903229,-8.035939,-7.191146,1.2568362,-9.070511,-5.8318243,-3.8603842,-5.0155444,-6.2025723,0.14538771,-1.0634722"
knowledge,"-520.7507,115.6741,16.9016,7.0408335,0.13040607,12.303342,-9.465924,-1.2218864,-11.9453945,-15.822794,-11.131326,-2.9767282,-0.648132,-14.202688,-3.2197976,-0.11201159,-4.5107956,-8.352091,-0.07502003,-6.2627215"
knowledge,"-520.7507,115.6741,16.9016,7.0408335,0.13040607,12.303342,-9.465924,-1.2218864,-11.9453945,-15.822794,-11.131326,-2.9767282,-0.648132,-14.202688,-3.2197976,-0.11201159,-4.5107956,-8.352091,-0.07502003,-6.2627215"
knowledge,"-488.4898,100.95991,-0.14578268,12.132674,1.1141286,6.610705,-12.234562,0.99985206,-3.4654129,-9.903229,-8.035939,-7.191146,1.2568362,-9.070511,-5.8318243,-3.8603842,-5.0155444,-6.2025723,0.14538771,-1.0634722"
knowledge,"-500.6056,107.13547,1.4506422,8.2308,0.49425924,9.690905,-15.323399,-5.7833776,0.39401743,-1.9342809,-8.140072,-10.016881,1.2873824,-8.962156,-6.990302,-4.186605,-3.0806024,-5.3294983,-6.5195155,-6.790896"
knowledge,"-493.7356,117.2203,12.120189,10.121983,-15.883559,4.145945,-7.819126,-3.1434689,-5.0170283,-6.535971,-6.8965755,-4.5029593,0.06785014,-13.836977,-5.3376293,-2.72672,-4.1555386,-7.7823396,-5.8889866,-6.325441"
knowledge,"-530.9221,111.35347,12.373541,10.488995,-4.9242153,6.936197,-7.052212,2.1766622,0.27427095,-14.055214,-8.577656,-3.0617907,0.13381185,-11.516731,-6.994873,-4.5405536,-9.20824,-3.472554,-2.6268225,-7.04334"
learn,"-522.9374,118.85305,-13.414554,26.717087,-0.074981205,4.377995,-2.6520066,1.7974304,2.2336662,-6.4687676,2.2390268,-12.9918785,-3.2918448,-0.44294056,-15.122216,-1.4172926,-2.9588385,-10.435359,-8.273839,-10.870728"
learn,"-499.5031,125.125824,-21.05755,22.508173,-7.7985015,5.121449,-3.5619705,0.65768653,3.8950086,-8.156218,-0.8613908,-7.8384604,-3.0258496,-5.831722,-16.015594,-5.222111,-1.1880256,-7.7117877,-5.74097,-4.8525248"
learn,"-500.744,106.09596,-4.1684456,22.641161,-14.839333,0.3059895,-0.21734878,-4.092185,-4.792097,-5.958896,-2.5625064,-10.990881,-6.723952,-5.8926826,-8.96049,-5.506826,-2.4987504,-9.032373,-5.437734,-3.8669167"
learn,"-514.6726,115.091545,-10.246921,25.264484,-22.033371,1.7225924,2.821735,0.56670356,-10.5344515,-9.987661,3.2038295,-12.056813,-3.1733522,-13.100194,-9.165987,2.3069174,-9.52319,-9.175778,-3.899053,-4.284663"
learn,"-526.6642,103.48435,11.614897,18.796005,-13.882751,4.87799,0.8418685,-4.9453373,-5.550177,-8.306025,-1.0068761,-9.743516,-4.436582,-6.1465907,-8.340046,-0.71482867,-5.823989,-5.37306,-4.013316,-6.431979"
learn,"-526.6642,103.48435,11.614897,18.796005,-13.882751,4.87799,0.8418685,-4.9453373,-5.550177,-8.306025,-1.0068761,-9.743516,-4.436582,-6.1465907,-8.340046,-0.71482867,-5.823989,-5.37306,-4.013316,-6.431979"
learn,"-514.6726,115.091545,-10.246921,25.264484,-22.033371,1.7225924,2.821735,0.56670356,-10.5344515,-9.987661,3.2038295,-12.056813,-3.1733522,-13.100194,-9.165987,2.3069174,-9.52319,-9.175778,-3.899053,-4.284663"
learn,"-500.744,106.09596,-4.1684456,22.641161,-14.839333,0.3059895,-0.21734878,-4.092185,-4.792097,-5.958896,-2.5625064,-10.990881,-6.723952,-5.8926826,-8.96049,-5.506826,-2.4987504,-9.032373,-5.437734,-3.8669167"
learn,"-499.5031,125.125824,-21.05755,22.508173,-7.7985015,5.121449,-3.5619705,0.65768653,3.8950086,-8.156218,-0.8613908,-7.8384604,-3.0258496,-5.831722,-16.015594,-5.222111,-1.1880256,-7.7117877,-5.74097,-4.8525248"
learn,"-522.9374,118.85305,-13.414554,26.717087,-0.074981205,4.377995,-2.6520066,1.7974304,2.2336662,-6.4687676,2.2390268,-12.9918785,-3.2918448,-0.44294056,-15.122216,-1.4172926,-2.9588385,-10.435359,-8.273839,-10.870728"
learn,"-417.8422,119.3761,-17.135927,19.2006,-10.807506,-2.0384061,-10.769801,-3.8396597,-11.112682,-9.26448,-1.4363357,-9.082281,-6.632854,-10.232881,-1.279145,-8.890042,-7.265967,-6.7859054,-7.5556808,-2.2771432"
learn,"-417.8422,119.3761,-17.135927,19.2006,-10.807506,-2.0384061,-10.769801,-3.8396597,-11.112682,-9.26448,-1.4363357,-9.082281,-6.632854,-10.232881,-1.279145,-8.890042,-7.265967,-6.7859054,-7.5556808,-2.2771432"
learn,"-417.8422,119.3761,-17.135927,19.2006,-10.807506,-2.0384061,-10.769801,-3.8396597,-11.112682,-9.26448,-1.4363357,-9.082281,-6.632854,-10.232881,-1.279145,-8.890042,-7.265967,-6.7859054,-7.5556808,-2.2771432"
learn,"-417.8422,119.3761,-17.135927,19.2006,-10.807506,-2.0384061,-10.769801,-3.8396597,-11.112682,-9.26448,-1.4363357,-9.082281,-6.632854,-10.232881,-1.279145,-8.890042,-7.265967,-6.7859054,-7.5556808,-2.2771432"
learn,"-466.20145,140.00702,-6.622115,11.517748,-10.652266,-7.2270365,-9.036333,1.1298944,-4.746363,-12.834481,2.0085893,-3.6668394,-3.89528,-0.42847395,-5.9105515,-3.9268057,-3.779806,-8.94599,-3.3688767,-5.973938"
learn,"-480.30502,109.04893,-4.5241437,15.010476,-0.4667759,-10.073471,-7.726594,-4.452201,-7.6146927,-11.705353,-1.4188746,-0.3147366,-5.5957828,-3.0002017,-2.114389,-3.508753,-4.29226,-7.017682,-1.7815794,-0.979726"
learn,"-493.11246,134.49615,2.847732,19.321295,2.0008242,-2.9307756,-8.593236,-1.9590069,-1.9425479,-5.0316615,3.8636184,-0.24780138,-1.7958946,-1.7420856,-7.2029986,-6.2848406,-1.486487,-6.316635,-1.5534624,-0.10628112"
learn,"-480.80115,114.83353,-8.578186,13.702721,-2.9776776,-11.256286,-8.874794,-0.61177194,-7.235083,-10.0570545,3.2912927,-3.0554588,-4.126321,-2.2143934,-4.880475,-5.7133284,-4.569769,-4.337918,-5.0485106,-3.4021606"
learn,"-432.50647,135.2735,-10.706144,6.1337075,-8.026716,-15.303463,-13.759528,-7.6391063,-9.603778,-11.865137,-0.3939338,-7.503216,-9.570261,-6.1026406,-9.240115,-5.6185346,-4.1607876,-5.3678303,-1.4088926,-2.2556999"
learn,"-484.7094,102.61033,-4.269419,12.980529,0.09326545,-11.308644,-10.343734,-5.389317,-7.4165154,-10.22292,-2.6798778,-2.1671839,-5.9815464,-4.1039047,-2.429101,-4.854146,-2.9751165,-3.9655428,-3.5910153,-2.6319394"
learn,"-468.51642,106.9917,-3.2493706,6.1985054,-15.793715,3.0108986,-0.28971273,4.313907,2.2837186,-6.3770323,0.40152007,-8.711505,-9.21916,-7.6016097,-6.631627,-4.0864525,-4.070134,-8.133659,-3.0501652,-0.4647666"
learn,"-394.1271,82.15824,-19.990934,-8.2002535,-39.943325,2.8385432,-12.30795,-6.4265757,1.7950687,-13.330295,-0.08722716,-13.782658,-14.246295,-5.758542,-6.4603324,-4.507509,-3.1349335,-10.5837965,-7.4909577,-3.1361606"
learn,"-427.19476,75.18668,-18.172504,-7.453156,-35.05276,3.1050584,-2.1726828,-6.01338,-3.052479,-12.904653,0.66878575,-12.681977,-12.986049,-0.91292703,-4.626213,-4.4167137,-2.506244,-10.920951,-10.602686,-2.9572423"
learn,"-432.52167,92.2775,-11.838306,-4.9493823,-31.069725,5.7046947,-1.8570076,-6.8696537,3.154012,-11.504383,-2.1233308,-7.7981424,-13.328913,-4.317053,-3.7227829,-5.989508,-8.568969,-11.946261,-5.074791,-3.7845154"
learn,"-418.40884,108.65554,-16.429203,4.1132817,-45.001434,0.2951011,-0.89501965,-12.045535,0.5170584,-13.801828,-4.063493,-9.455168,-19.842476,-8.357567,-2.9621384,-4.6320767,-3.1959538,-12.2709675,-5.793305,-0.43116465"
learn,"-382.68008,93.81094,-28.88902,-0.39349303,-41.6862,-0.44001606,-4.6104,-2.0727987,-5.4361753,-11.620884,3.1420605,-11.457995,-11.273413,-7.356716,-4.309111,-5.4161243,-5.85808,-9.127019,-4.8996277,-1.255286"
learn,"-417.10764,85.69637,-20.818136,12.84634,-37.67848,2.1775465,-7.9601183,3.0023446,-1.9871007,-9.591716,3.5040686,-10.441356,-7.1841764,-5.3978486,-3.8919857,-3.0826404,-0.98507965,-10.561757,-4.743613,-3.3807735"
learn,"-467.1335,100.378204,-22.735601,4.2004294,-17.589077,3.1511886,-16.446106,-3.9099236,7.4180546,-15.746338,-0.13073564,0.668917,-16.59865,-12.591818,-2.1146202,-4.6943903,-5.3245697,-10.773736,-1.1412017,-1.7137549"
learn,"-451.44977,117.57692,-25.693129,7.4055524,-30.02146,2.5216088,-3.9151824,-4.8883634,1.3784882,-9.556107,0.95735055,-4.974093,-21.614742,-12.695345,-1.3933934,-5.032681,-2.7199326,-15.142341,-3.8120363,-1.7925235"
learn,"-407.17163,114.639046,-21.952217,9.127076,-47.268063,-2.4391975,-1.6773574,-11.471748,-1.4073269,-9.972958,-5.419332,-8.500287,-15.845879,-12.113252,-4.026272,-9.551515,-5.141653,-13.647611,-9.260196,-2.5368345"
learn,"-476.41757,123.76967,17.618778,8.29898,-12.620408,-1.6661932,-6.8467035,-2.149257,-9.82326,-19.181173,-12.098854,-4.753049,2.2516146,-11.037689,-10.098749,-2.168357,-5.471412,-5.3246713,-3.191683,-8.249511"
learn,"-550.9759,126.42287,6.5485063,7.4234195,6.1257596,4.513675,-9.959044,1.7418613,-1.2524474,-12.813498,-11.12441,-10.055592,-2.9888558,-7.3738728,-4.6803985,-4.712682,-5.402341,-4.6626406,-5.3491244,-4.9422517"
learn,"-534.6581,128.9913,-7.132384,7.930661,12.732995,6.132785,-17.370321,2.3746388,-2.9583938,-11.326547,-11.505333,-13.445177,-1.3409779,-9.065971,-8.178709,-5.2787323,0.20722756,-5.5546684,-6.518065,-2.8697941"
learn,"-539.06647,131.54047,8.289108,0.3335542,3.8567617,11.972977,-9.2360735,1.2005694,-5.987694,-15.152735,-9.042411,-12.261777,-1.4032738,-7.078186,-5.8957314,-3.9212291,-5.3378983,-3.6166563,-4.253751,-3.563845"
learn,"-562.48065,126.68494,-8.024588,14.891775,2.9290266,11.3270445,-13.454901,6.7482195,-7.010297,-9.572069,-4.686334,-10.418869,-0.40023732,-11.274557,-1.7701044,-7.2666984,-2.7793174,-1.9981664,-5.0930743,-4.298779"
learn,"-562.48065,126.68494,-8.024588,14.891775,2.9290266,11.3270445,-13.454901,6.7482195,-7.010297,-9.572069,-4.686334,-10.418869,-0.40023732,-11.274557,-1.7701044,-7.2666984,-2.7793174,-1.9981664,-5.0930743,-4.298779"
learn,"-539.06647,131.54047,8.289108,0.3335542,3.8567617,11.972977,-9.2360735,1.2005694,-5.987694,-15.152735,-9.042411,-12.261777,-1.4032738,-7.078186,-5.8957314,-3.9212291,-5.3378983,-3.6166563,-4.253751,-3.563845"
learn,"-534.6581,128.9913,-7.132384,7.930661,12.732995,6.132785,-17.370321,2.3746388,-2.9583938,-11.326547,-11.505333,-13.445177,-1.3409779,-9.065971,-8.178709,-5.2787323,0.20722756,-5.5546684,-6.518065,-2.8697941"
learn,"-550.9759,126.42287,6.5485063,7.4234195,6.1257596,4.513675,-9.959044,1.7418613,-1.2524474,-12.813498,-11.12441,-10.055592,-2.9888558,-7.3738728,-4.6803985,-4.712682,-5.402341,-4.6626406,-5.3491244,-4.9422517"
learn,"-476.41757,123.76967,17.618778,8.29898,-12.620408,-1.6661932,-6.8467035,-2.149257,-9.82326,-19.181173,-12.098854,-4.753049,2.2516146,-11.037689,-10.098749,-2.168357,-5.471412,-5.3246713,-3.191683,-8.249511"
library,"-475.5355,113.498215,-13.216394,30.328285,-9.630853,-4.589167,-17.236574,-4.801709,-0.7423525,-12.572789,-1.4016237,-14.534104,-5.4211926,-1.9347074,-11.3716,-7.020934,0.257012,-3.8987973,-8.368949,-0.70102876"
library,"-475.76807,123.60632,-13.735551,26.968807,-9.265604,-1.1244203,-14.568805,-10.356262,1.763106,-8.16598,-7.4379716,-15.566103,-10.160309,1.3021644,-10.717775,-9.011537,1.7124923,-9.483934,-3.5923827,-2.9428737"
library,"-493.2407,113.86675,-7.0605674,37.196316,-12.383974,-7.0475035,-14.084172,-14.25997,-4.1189175,-8.29213,-6.575245,-10.629602,-6.885429,-3.0291924,-13.059777,-8.283676,0.54198307,-10.548241,-2.675992,-4.218714"
library,"-498.4548,117.77875,-9.05591,51.555088,-18.061365,-15.040934,0.7655909,-14.907703,-9.075922,-7.8992405,-5.4738955,-11.434061,-8.769564,-3.3685198,-14.585189,-8.967495,-0.7844917,-9.027354,-4.7804804,-6.762925"
library,"-509.14688,98.642944,-4.0982213,37.343307,-17.003386,-11.252413,-5.357115,-8.76225,-3.7027047,-7.5064487,-2.4283059,-9.131575,-6.6186113,-5.2139745,-9.620057,-6.6104083,-1.5692855,-7.3926845,-7.578012,-0.086777225"
library,"-509.14688,98.642944,-4.0982213,37.343307,-17.003386,-11.252413,-5.357115,-8.76225,-3.7027047,-7.5064487,-2.4283059,-9.131575,-6.6186113,-5.2139745,-9.620057,-6.6104083,-1.5692855,-7.3926845,-7.578012,-0.086777225"
library,"-498.4548,117.77875,-9.05591,51.555088,-18.061365,-15.040934,0.7655909,-14.907703,-9.075922,-7.8992405,-5.4738955,-11.434061,-8.769564,-3.3685198,-14.585189,-8.967495,-0.7844917,-9.027354,-4.7804804,-6.762925"
library,"-493.2407,113.86675,-7.0605674,37.196316,-12.383974,-7.0475035,-14.084172,-14.25997,-4.1189175,-8.29213,-6.575245,-10.629602,-6.885429,-3.0291924,-13.059777,-8.283676,0.54198307,-10.548241,-2.675992,-4.218714"
library,"-475.76807,123.60632,-13.735551,26.968807,-9.265604,-1.1244203,-14.568805,-10.356262,1.763106,-8.16598,-7.4379716,-15.566103,-10.160309,1.3021644,-10.717775,-9.011537,1.7124923,-9.483934,-3.5923827,-2.9428737"
library,"-475.5355,113.498215,-13.216394,30.328285,-9.630853,-4.589167,-17.236574,-4.801709,-0.7423525,-12.572789,-1.4016237,-14.534104,-5.4211926,-1.9347074,-11.3716,-7.020934,0.257012,-3.8987973,-8.368949,-0.70102876"
library,"-474.49472,119.37534,-7.64584,41.10921,0.9000693,-20.350006,-15.632548,-4.941784,-11.257458,-7.742049,-8.33051,-10.3159685,3.2164001,-0.85352457,-6.2094407,-7.668071,-2.7673142,-7.964288,-6.591793,-2.2925422"
library,"-486.8951,120.814316,4.6377144,33.37013,-15.975226,-24.2097,-12.417232,-9.270729,-15.576878,-8.25567,-5.283988,-5.8092794,-2.9000568,-6.2591424,-3.3103065,-8.47439,-4.972197,-6.673242,-8.522458,-6.0010004"
library,"-431.59528,137.89392,-20.690657,40.510624,-2.7136505,1.3365549,-15.598846,-7.938012,-3.860929,4.5749974,-0.7027833,-6.953055,1.4749262,-7.504096,-5.1279593,-10.856274,-1.3523085,-6.391341,-6.184236,-2.3080096"
library,"-538.7556,107.01904,7.8806396,51.06988,-0.20769358,-5.0748243,-0.12623094,-13.189722,-7.277498,-8.247735,-7.457604,-5.451413,0.6114395,-3.678061,-10.896939,-3.3766584,-8.436659,-9.887988,-3.3699021,-9.530929"
library,"-530.16925,105.45133,0.85267097,54.720104,-1.306102,-6.8485236,-2.7696764,-14.35854,-6.858631,-5.696955,-7.5167236,-8.123023,3.347799,-4.3926287,-14.837869,-0.92534447,-3.7709987,-13.679737,-5.2816663,-6.0504017"
library,"-474.49472,119.37534,-7.64584,41.10921,0.9000693,-20.350006,-15.632548,-4.941784,-11.257458,-7.742049,-8.33051,-10.3159685,3.2164001,-0.85352457,-6.2094407,-7.668071,-2.7673142,-7.964288,-6.591793,-2.2925422"
library,"-486.8951,120.814316,4.6377144,33.37013,-15.975226,-24.2097,-12.417232,-9.270729,-15.576878,-8.25567,-5.283988,-5.8092794,-2.9000568,-6.2591424,-3.3103065,-8.47439,-4.972197,-6.673242,-8.522458,-6.0010004"
library,"-431.59528,137.89392,-20.690657,40.510624,-2.7136505,1.3365549,-15.598846,-7.938012,-3.860929,4.5749974,-0.7027833,-6.953055,1.4749262,-7.504096,-5.1279593,-10.856274,-1.3523085,-6.391341,-6.184236,-2.3080096"
library,"-538.7556,107.01904,7.8806396,51.06988,-0.20769358,-5.0748243,-0.12623094,-13.189722,-7.277498,-8.247735,-7.457604,-5.451413,0.6114395,-3.678061,-10.896939,-3.3766584,-8.436659,-9.887988,-3.3699021,-9.530929"
library,"-530.16925,105.45133,0.85267097,54.720104,-1.306102,-6.8485236,-2.7696764,-14.35854,-6.858631,-5.696955,-7.5167236,-8.123023,3.347799,-4.3926287,-14.837869,-0.92534447,-3.7709987,-13.679737,-5.2816663,-6.0504017"
library,"-402.854,101.45286,-14.026197,17.421246,-17.06402,-18.299107,-16.091864,-14.18013,-9.523646,-9.672486,-7.2520857,-6.0166545,-3.4203792,-1.7379521,-5.8304367,-6.728253,-3.8180451,-12.609919,-6.399007,-5.02621"
library,"-389.67603,98.01712,-8.084346,28.244238,-25.561823,-18.48192,-22.331013,-12.55816,-23.266676,-12.34776,-2.9534583,-12.413567,-2.2899876,-5.5246763,-11.26846,-10.345843,-1.2146591,-10.233118,-7.8251243,-7.64322"
library,"-375.83493,88.29044,-40.97409,22.092249,-15.872687,-23.321917,-24.58803,-11.528,-18.518871,-10.2778425,-3.59173,-9.218559,-4.3953834,-4.739296,-3.6830497,-9.302561,-4.467884,-9.897197,-7.814531,-8.2286415"
library,"-351.42612,96.95156,-30.166065,23.01319,-22.060131,-22.127901,-25.229753,-7.333649,-18.062979,-9.316662,-3.1451335,-10.100295,-2.9103515,-5.207524,-3.0624628,-11.228225,-6.6635795,-8.19991,-6.142628,-8.221101"
library,"-375.3063,106.80742,-31.610136,25.026566,-14.067301,-15.325321,-20.808666,-11.412524,-9.39202,-9.172878,-4.9071937,-7.9766927,0.8060384,-4.5968704,-4.137577,-7.492231,-4.0098104,-5.1090217,-6.4998116,-2.464248"
library,"-356.29904,107.2792,-39.656536,18.883493,-17.410881,-26.010866,-14.587394,-6.849098,-10.718941,-9.618164,-1.1294408,-17.144194,-5.717531,-0.61053234,-7.3867817,-3.1545062,-3.8414092,-7.3298726,-10.590738,-11.181598"
library,"-344.27945,92.09253,-29.757097,24.696362,-28.242693,-18.468264,-23.87566,0.9868847,-17.46561,-8.916266,11.470692,-5.460044,-0.35400084,-0.7601157,-4.833484,-11.739777,-0.48480132,-9.796198,-1.8616695,-1.8705728"
library,"-413.212,110.45659,-13.095455,35.723053,-13.210206,-16.600548,0.67522955,-13.535884,-10.203986,-1.753579,-0.42153984,-4.5533423,-6.5251393,-2.2910626,-6.408336,-7.228934,0.3955048,-6.841669,-7.335951,-4.7138596"
library,"-392.8589,96.65644,-17.724794,22.663675,-25.450191,-6.9431686,-23.426348,-17.10404,-6.048138,-10.920842,-6.404129,-6.291988,-5.3667,-8.449611,-3.922734,-8.5173435,-0.790518,-10.067021,-7.607583,-2.6771922"
library,"-365.32126,107.342964,-25.853037,17.140303,-27.31439,-8.539047,-21.700327,-16.180193,-6.8775983,-12.124397,-1.8320888,-7.334895,-6.6208305,-3.7697334,-7.55238,-5.4204097,-0.34987363,-11.537324,-6.6523147,-6.0455656"
library,"-513.95544,105.23613,13.380796,12.861122,-2.3956504,8.49074,-7.363084,0.15748152,-5.144834,-9.20197,-3.9462867,-0.9647751,-12.164385,-14.646704,-2.19465,-3.0477355,-0.20817795,-9.765966,-2.9945478,-5.124114"
library,"-481.19504,115.5146,11.346614,30.227386,5.2969365,1.9459767,-21.014791,1.8788729,-5.5222116,-14.745233,-6.223856,-7.2664323,-4.850864,-12.6406975,-3.7376485,-5.553162,-7.0856447,-3.0178695,-2.7346938,-11.087045"
library,"-505.0526,122.6307,-2.021572,21.039911,-2.8468914,9.362145,-18.91844,0.6395965,-5.363296,-3.2910414,-8.305327,-12.457386,0.23755947,-13.869442,-5.925387,-10.284388,-4.018105,-8.422567,-6.924181,-4.8900585"
library,"-505.1453,110.17658,0.38970217,20.018303,-1.879477,8.461625,-10.791306,-4.0214133,-9.805364,-7.6631503,-8.456974,-6.31972,-2.7845805,-9.738985,-1.9027091,-7.2171903,-4.3326917,-11.024021,-3.8315768,-5.522408"
library,"-480.54053,122.25614,-1.9714979,22.371187,0.42152166,7.72949,-25.60916,7.10483,-2.3904383,-13.14691,-6.8069105,-4.1080947,-0.42021695,-14.04005,-3.4726021,-6.9961452,-2.7350621,-8.569863,-3.6942492,-7.083306"
library,"-480.54053,122.25614,-1.9714979,22.371187,0.42152166,7.72949,-25.60916,7.10483,-2.3904383,-13.14691,-6.8069105,-4.1080947,-0.42021695,-14.04005,-3.4726021,-6.9961452,-2.7350621,-8.569863,-3.6942492,-7.083306"
library,"-505.1453,110.17658,0.38970217,20.018303,-1.879477,8.461625,-10.791306,-4.0214133,-9.805364,-7.6631503,-8.456974,-6.31972,-2.7845805,-9.738985,-1.9027091,-7.2171903,-4.3326917,-11.024021,-3.8315768,-5.522408"
library,"-505.0526,122.6307,-2.021572,21.039911,-2.8468914,9.362145,-18.91844,0.6395965,-5.363296,-3.2910414,-8.305327,-12.457386,0.23755947,-13.869442,-5.925387,-10.284388,-4.018105,-8.422567,-6.924181,-4.8900585"
library,"-481.19504,115.5146,11.346614,30.227386,5.2969365,1.9459767,-21.014791,1.8788729,-5.5222116,-14.745233,-6.223856,-7.2664323,-4.850864,-12.6406975,-3.7376485,-5.553162,-7.0856447,-3.0178695,-2.7346938,-11.087045"
library,"-513.95544,105.23613,13.380796,12.861122,-2.3956504,8.49074,-7.363084,0.15748152,-5.144834,-9.20197,-3.9462867,-0.9647751,-12.164385,-14.646704,-2.19465,-3.0477355,-0.20817795,-9.765966,-2.9945478,-5.124114"
read,"-480.738,131.98903,-14.356098,1.8245326,-16.609367,3.370396,-6.0630608,-12.228405,-5.3410225,-5.171911,0.76762545,-10.066017,-10.448682,-7.2399826,-12.781491,-8.967573,-5.08627,-10.853195,-9.78447,-6.6865277"
read,"-467.56735,143.51764,-18.470154,-8.17988,-10.766429,-1.3805461,-10.015025,-9.330864,-5.0192976,-9.2677555,-5.1588984,-7.5544524,-12.2118025,-4.410169,-10.986036,-13.439191,-2.6637757,-12.08362,-5.816461,-4.0515413"
read,"-488.24417,134.20654,0.44543236,12.808437,-20.680141,13.097731,1.8753331,-11.401713,1.3992978,-5.553652,5.2167325,-8.697611,-8.80296,-0.63147515,-11.500656,-8.346204,-0.20702885,-5.3598576,-8.086606,-0.88641715"
read,"-473.3535,144.05396,1.5049205,5.8289604,-15.337324,11.591151,0.55991,-10.436242,-0.6761638,-8.121696,6.1598544,-5.570486,-13.656151,-3.0293775,-10.766228,-7.428512,-2.576607,-8.865267,-6.013354,-4.5595927"
read,"-478.78778,121.73349,-12.875544,8.026533,-26.699318,1.8396567,-4.792945,-12.947483,-8.809497,-5.9804993,1.2798193,-14.201918,-11.456535,-4.5821085,-12.5276375,-8.9267025,-1.1544735,-8.419671,-4.5939445,-3.5004373"
read,"-478.78778,121.73349,-12.875544,8.026533,-26.699318,1.8396567,-4.792945,-12.947483,-8.809497,-5.9804993,1.2798193,-14.201918,-11.456535,-4.5821085,-12.5276375,-8.9267025,-1.1544735,-8.419671,-4.5939445,-3.5004373"
read,"-473.3535,144.05396,1.5049205,5.8289604,-15.337324,11.591151,0.55991,-10.436242,-0.6761638,-8.121696,6.1598544,-5.570486,-13.656151,-3.0293775,-10.766228,-7.428512,-2.576607,-8.865267,-6.013354,-4.5595927"
read,"-488.24417,134.20654,0.44543236,12.808437,-20.680141,13.097731,1.8753331,-11.401713,1.3992978,-5.553652,5.2167325,-8.697611,-8.80296,-0.63147515,-11.500656,-8.346204,-0.20702885,-5.3598576,-8.086606,-0.88641715"
read,"-467.56735,143.51764,-18.470154,-8.17988,-10.766429,-1.3805461,-10.015025,-9.330864,-5.0192976,-9.2677555,-5.1588984,-7.5544524,-12.2118025,-4.410169,-10.986036,-13.439191,-2.6637757,-12.08362,-5.816461,-4.0515413"
read,"-480.738,131.98903,-14.356098,1.8245326,-16.609367,3.370396,-6.0630608,-12.228405,-5.3410225,-5.171911,0.76762545,-10.066017,-10.448682,-7.2399826,-12.781491,-8.967573,-5.08627,-10.853195,-9.78447,-6.6865277"
read,"-518.45306,123.54258,-3.8655114,28.915674,-10.945496,5.496048,9.511969,-10.266151,-10.013444,-6.3694134,-0.9855791,-8.630741,-0.20922248,-6.4822516,-9.376267,1.8575304,-11.643551,-8.9140005,-4.806461,-9.100038"
read,"-510.38034,130.92471,-5.9769607,22.169579,-11.031405,5.9736643,10.929809,-6.8134823,-6.3629003,-1.0881151,1.7397661,-12.366756,-3.5814135,0.91948414,-7.7815943,-3.3646593,-7.5240555,-10.973194,-8.037296,-8.857703"
read,"-537.105,119.84913,-2.4077408,29.313469,-13.295193,6.055392,10.744107,-12.404766,-7.781428,-1.3419027,-2.9041529,-13.616483,-0.34623694,-3.3796084,-12.113605,-1.0564028,-7.6802278,-10.948667,-5.5946274,-7.713005"
read,"-531.832,123.33184,1.5627954,30.678358,-11.294284,12.964402,12.661136,-10.969028,-7.5510473,0.84316313,4.152619,-10.405341,1.5690452,-0.90884197,-10.909202,1.3451395,-3.4492142,-9.055963,-4.8323703,-4.8189173"
read,"-555.1011,121.11788,0.770974,35.381317,-12.049788,7.135758,9.335904,-8.421555,-6.4218764,-3.0047112,-1.2896581,-8.345134,2.819215,-5.175572,-11.117062,-0.93139875,-5.275469,-10.156157,-6.5189114,-5.898749"
read,"-518.45306,123.54258,-3.8655114,28.915674,-10.945496,5.496048,9.511969,-10.266151,-10.013444,-6.3694134,-0.9855791,-8.630741,-0.20922248,-6.4822516,-9.376267,1.8575304,-11.643551,-8.9140005,-4.806461,-9.100038"
read,"-510.38034,130.92471,-5.9769607,22.169579,-11.031405,5.9736643,10.929809,-6.8134823,-6.3629003,-1.0881151,1.7397661,-12.366756,-3.5814135,0.91948414,-7.7815943,-3.3646593,-7.5240555,-10.973194,-8.037296,-8.857703"
